x,y
0,23.0
1,24.654537060362777
2,26.598760758215036
3,23.74466634045083
4,11.004249053964216
5,-16.710495854350754
6,-64.48757313760004
7,-137.41498754888954
8,-240.58074384132522
9,-379.0728467680131
10,-557.979301082059
11,-782.3881115365689
12,-1057.387282884649
13,-1388.064819879405
14,-1779.5087272739424
15,-2236.807009821368
16,-2765.047672274787
17,-3369.3187193873064
18,-4054.708155912031
19,-4826.303986602067
20,-5689.194216210521
21,-6648.466849490498
22,-7709.209891195103
23,-8876.511346077446
24,-10155.45921889063
25,-11551.14151438776
26,-13068.646237321946
27,-14713.061392446289
28,-16489.474984513894
29,-18402.975018277873
30,-20458.64949849133
31,-22661.58642990737
32,-25016.873817279098
33,-27529.59966535962
34,-30204.851978902047
35,-33047.718762659475
36,-36063.288021385015
37,-39256.64775983178
38,-42632.885982752865
39,-46197.09069490138
40,-49954.34990103044
41,-53909.75160589313
42,-58068.383814242574
43,-62435.33453083187
44,-67015.69176041412
45,-71814.54350774245
46,-76836.97777756996
47,-82088.08257464973
48,-87572.94590373489
49,-93296.65576957853
